gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T28_S__k141_1193175__full-cat_1_15	T28_S__k141_1193175__full-cat_1	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	2	M
T28_S__k141_1213208__full-cat_2_8	T28_S__k141_1213208__full-cat_2							3	MKF
T28_S__k141_1213208__full-cat_2_13	T28_S__k141_1213208__full-cat_2							3	MKF
T28_S__k141_1213208__full-cat_2_16	T28_S__k141_1213208__full-cat_2							3	MK
T28_S__k141_1213208__full-cat_2_24	T28_S__k141_1213208__full-cat_2							3	MKF
T28_S__k141_1213208__full-cat_2_27	T28_S__k141_1213208__full-cat_2							3	MKF
T28_S__k141_1248557__full-cat_1_12	T28_S__k141_1248557__full-cat_1	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		Cobalamin biosynthesis, precorrin2 => cobinamide	2	MF
T28_S__k141_1249044__full-cat_2_6	T28_S__k141_1249044__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T28_S__k141_1249044__full-cat_2_6	T28_S__k141_1249044__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T28_S__k141_1249044__full-cat_2_7	T28_S__k141_1249044__full-cat_2							3	MKF
T28_S__k141_1265019__full-cat_2_9	T28_S__k141_1265019__full-cat_2							3	MKF
T28_S__k141_1265019__full-cat_2_16	T28_S__k141_1265019__full-cat_2							3	MKF
T28_S__k141_1266627__full-cat_2_4	T28_S__k141_1266627__full-cat_2							3	MKF
T28_S__k141_1291854__full-cat_2_4	T28_S__k141_1291854__full-cat_2							3	MKF
T28_S__k141_1291854__full-cat_2_5	T28_S__k141_1291854__full-cat_2							3	MKF
T28_S__k141_1291854__full-cat_2_12	T28_S__k141_1291854__full-cat_2							3	MK
T28_S__k141_1291854__full-cat_2_21	T28_S__k141_1291854__full-cat_2	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37] [RN:R03197]	MISC	MISC		Heme biosynthesis, animals and fungi, glycine => heme	3	MKF
T28_S__k141_1292113__full-cat_1_5	T28_S__k141_1292113__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T28_S__k141_1292113__full-cat_1_7	T28_S__k141_1292113__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T28_S__k141_1292113__full-cat_1_21	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_41	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_43	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_45	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_51	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_54	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_56	T28_S__k141_1292113__full-cat_1							2	MK
T28_S__k141_1292113__full-cat_1_57	T28_S__k141_1292113__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MKF
T28_S__k141_1292113__full-cat_1_57	T28_S__k141_1292113__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MKF
T28_S__k141_1292113__full-cat_1_57	T28_S__k141_1292113__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MKF
T28_S__k141_1296458__full-cat_1_5	T28_S__k141_1296458__full-cat_1							2	MKF
T28_S__k141_1296458__full-cat_1_6	T28_S__k141_1296458__full-cat_1							2	MK
T28_S__k141_143057__full-cat_2_11	T28_S__k141_143057__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T28_S__k141_143057__full-cat_2_12	T28_S__k141_143057__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T28_S__k141_16522__full-cat_1_39	T28_S__k141_16522__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
T28_S__k141_16522__full-cat_1_41	T28_S__k141_16522__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MK
T28_S__k141_16522__full-cat_1_41	T28_S__k141_16522__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MK
T28_S__k141_16522__full-cat_1_41	T28_S__k141_16522__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MK
T28_S__k141_16522__full-cat_1_45	T28_S__k141_16522__full-cat_1							2	MK
T28_S__k141_165563__full-cat_1_16	T28_S__k141_165563__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T28_S__k141_165563__full-cat_1_22	T28_S__k141_165563__full-cat_1							1	MK
T28_S__k141_172452__full-cat_2_25	T28_S__k141_172452__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
T28_S__k141_174756__full-cat_2_3	T28_S__k141_174756__full-cat_2							3	MKF
T28_S__k141_18132__full-cat_1_9	T28_S__k141_18132__full-cat_1							1	MK
T28_S__k141_188541__full-cat_2_18	T28_S__k141_188541__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
T28_S__k141_196924__full-cat_1_2	T28_S__k141_196924__full-cat_1							1	MKF
T28_S__k141_204936__full-cat_2_3	T28_S__k141_204936__full-cat_2							3	MKF
T28_S__k141_207297__full-cat_2_5	T28_S__k141_207297__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T28_S__k141_22763__full-cat_1_27	T28_S__k141_22763__full-cat_1							2	MKF
T28_S__k141_236067__full-cat_1_12	T28_S__k141_236067__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T28_S__k141_251609__full-cat_1_8	T28_S__k141_251609__full-cat_1							2	MKF
T28_S__k141_251609__full-cat_1_17	T28_S__k141_251609__full-cat_1							2	MKF
T28_S__k141_251609__full-cat_1_22	T28_S__k141_251609__full-cat_1							2	MKEF
T28_S__k141_251609__full-cat_1_23	T28_S__k141_251609__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T28_S__k141_268834__full-cat_1_17	T28_S__k141_268834__full-cat_1							1	MK
T28_S__k141_284425__full-cat_2_9	T28_S__k141_284425__full-cat_2							3	MK
T28_S__k141_284425__full-cat_2_30	T28_S__k141_284425__full-cat_2							3	MK
T28_S__k141_284425__full-cat_2_32	T28_S__k141_284425__full-cat_2	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Energy	Oxygen		Cytochrome bc1 complex respiratory unit	3	MK
T28_S__k141_284425__full-cat_2_32	T28_S__k141_284425__full-cat_2	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Energy	Oxygen		Cytochrome bc1 complex	3	MK
T28_S__k141_284425__full-cat_2_41	T28_S__k141_284425__full-cat_2	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	M
T28_S__k141_284425__full-cat_2_49	T28_S__k141_284425__full-cat_2							3	MKF
T28_S__k141_286389__full-cat_1_8	T28_S__k141_286389__full-cat_1							2	MK
T28_S__k141_294720__full-cat_2_8	T28_S__k141_294720__full-cat_2							3	MKF
T28_S__k141_294720__full-cat_2_12	T28_S__k141_294720__full-cat_2							3	MK
T28_S__k141_301458__full-cat_1_20	T28_S__k141_301458__full-cat_1							2	MKF
T28_S__k141_3218__full-cat_2_15	T28_S__k141_3218__full-cat_2							3	MK
T28_S__k141_3218__full-cat_2_16	T28_S__k141_3218__full-cat_2							3	MK
T28_S__k141_3218__full-cat_2_19	T28_S__k141_3218__full-cat_2							3	MK
T28_S__k141_335303__full-cat_1_5	T28_S__k141_335303__full-cat_1							1	MK
T28_S__k141_335303__full-cat_1_6	T28_S__k141_335303__full-cat_1							1	MK
T28_S__k141_344591__full-cat_1_63	T28_S__k141_344591__full-cat_1							1	MK
T28_S__k141_353088__full-cat_1_9	T28_S__k141_353088__full-cat_1	K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		Cobalamin biosynthesis, precorrin2 => cobinamide	2	M
T28_S__k141_353088__full-cat_1_16	T28_S__k141_353088__full-cat_1							2	MK
T28_S__k141_353088__full-cat_1_19	T28_S__k141_353088__full-cat_1							2	MKF
T28_S__k141_355443__full-cat_1_6	T28_S__k141_355443__full-cat_1	K02703	psbA; photosystem II reaction center D1 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	2	MKEF
T28_S__k141_364920__full-cat_1_2	T28_S__k141_364920__full-cat_1							2	MKF
T28_S__k141_366407__full_1-cat_2_9	T28_S__k141_366407__full_1-cat_2							3	MKF
T28_S__k141_366407__full_1-cat_2_18	T28_S__k141_366407__full_1-cat_2							3	MK
T28_S__k141_368878__full-cat_2_6	T28_S__k141_368878__full-cat_2							3	MK
T28_S__k141_368878__full-cat_2_14	T28_S__k141_368878__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKF
T28_S__k141_368878__full-cat_2_14	T28_S__k141_368878__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKF
T28_S__k141_368878__full-cat_2_14	T28_S__k141_368878__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	3	MKF
T28_S__k141_368878__full-cat_2_14	T28_S__k141_368878__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	MKF
T28_S__k141_368878__full-cat_2_15	T28_S__k141_368878__full-cat_2							3	MKF
T28_S__k141_373269__full-cat_1_3	T28_S__k141_373269__full-cat_1							2	MKF
T28_S__k141_373269__full-cat_1_25	T28_S__k141_373269__full-cat_1							1	MK
T28_S__k141_373269__full-cat_1_26	T28_S__k141_373269__full-cat_1							1	MK
T28_S__k141_375234__full-cat_1_16	T28_S__k141_375234__full-cat_1							1	MKF
T28_S__k141_397702__full-cat_2_16	T28_S__k141_397702__full-cat_2							3	MK
T28_S__k141_397702__full-cat_2_26	T28_S__k141_397702__full-cat_2							3	MK
T28_S__k141_397702__full-cat_2_30	T28_S__k141_397702__full-cat_2							3	MK
T28_S__k141_407723__full-cat_2_11	T28_S__k141_407723__full-cat_2							3	MKF
T28_S__k141_407723__full-cat_2_20	T28_S__k141_407723__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
T28_S__k141_407723__full-cat_2_30	T28_S__k141_407723__full-cat_2							3	MKF
T28_S__k141_420516__full-cat_2_9	T28_S__k141_420516__full-cat_2							3	MKF
T28_S__k141_420516__full-cat_2_19	T28_S__k141_420516__full-cat_2	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	M
T28_S__k141_428783__full-cat_1_11	T28_S__k141_428783__full-cat_1							2	MK
T28_S__k141_439418__full-cat_1_34	T28_S__k141_439418__full-cat_1							2	MK
T28_S__k141_439418__full-cat_1_50	T28_S__k141_439418__full-cat_1							2	MKF
T28_S__k141_439973__full-cat_2_5	T28_S__k141_439973__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T28_S__k141_439973__full-cat_2_17	T28_S__k141_439973__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T28_S__k141_445299__full-cat_2_9	T28_S__k141_445299__full-cat_2	K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	carbon utilization	central carbon	TCA	Citrate cycle (TCA cycle, Krebs cycle)	3	MF
T28_S__k141_445299__full-cat_2_9	T28_S__k141_445299__full-cat_2	K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	carbon utilization	central carbon	TCA	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	3	MF
T28_S__k141_445299__full-cat_2_9	T28_S__k141_445299__full-cat_2	K00239	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	Energy	Electron transport Chain		Succinate dehydrogenase, prokaryotes	3	MF
T28_S__k141_445299__full-cat_2_9	T28_S__k141_445299__full-cat_2	K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MF
T28_S__k141_445299__full-cat_2_9	T28_S__k141_445299__full-cat_2	K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Energy	C1		Dicarboxylate-hydroxybutyrate cycle	3	MF
T28_S__k141_448567__full-cat_1_38	T28_S__k141_448567__full-cat_1							1	MK
T28_S__k141_459382__full-cat_1_3	T28_S__k141_459382__full-cat_1							2	MKF
T28_S__k141_459382__full-cat_1_31	T28_S__k141_459382__full-cat_1							2	MKF
T28_S__k141_459382__full-cat_1_32	T28_S__k141_459382__full-cat_1							2	MKF
T28_S__k141_468469__full-cat_2_11	T28_S__k141_468469__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
T28_S__k141_468469__full-cat_2_12	T28_S__k141_468469__full-cat_2							3	MK
T28_S__k141_478060__full_1-cat_2_3	T28_S__k141_478060__full_1-cat_2							3	MKF
T28_S__k141_478060__full_1-cat_2_8	T28_S__k141_478060__full_1-cat_2							3	MK
T28_S__k141_478060__full_1-cat_2_12	T28_S__k141_478060__full_1-cat_2							3	MKF
T28_S__k141_504791__full-cat_2_30	T28_S__k141_504791__full-cat_2							3	MK
T28_S__k141_504791__full-cat_2_34	T28_S__k141_504791__full-cat_2							3	MK
T28_S__k141_513319__full-cat_1_11	T28_S__k141_513319__full-cat_1							2	MK
T28_S__k141_513319__full-cat_1_21	T28_S__k141_513319__full-cat_1							2	MKEF
T28_S__k141_513319__full-cat_1_22	T28_S__k141_513319__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T28_S__k141_513620__full-cat_1_19	T28_S__k141_513620__full-cat_1							1	MKF
T28_S__k141_519062__full-cat_1_17	T28_S__k141_519062__full-cat_1							2	MK
T28_S__k141_523115__full-cat_1_9	T28_S__k141_523115__full-cat_1							2	MKEF
T28_S__k141_547252__full-cat_2_8	T28_S__k141_547252__full-cat_2							3	MKF
T28_S__k141_585253__full-cat_1_10	T28_S__k141_585253__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T28_S__k141_589843__full-cat_2_2	T28_S__k141_589843__full-cat_2							3	MKEF
T28_S__k141_589843__full-cat_2_12	T28_S__k141_589843__full-cat_2							3	MKF
T28_S__k141_611528__full_1-cat_2_5	T28_S__k141_611528__full_1-cat_2							3	MKF
T28_S__k141_611528__full_1-cat_2_10	T28_S__k141_611528__full_1-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T28_S__k141_611528__full_1-cat_2_11	T28_S__k141_611528__full_1-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKE
T28_S__k141_611528__full_1-cat_2_30	T28_S__k141_611528__full_1-cat_2							3	MK
T28_S__k141_621056__full-cat_2_6	T28_S__k141_621056__full-cat_2							3	MKF
T28_S__k141_622951__full-cat_2_7	T28_S__k141_622951__full-cat_2							3	MKF
T28_S__k141_622951__full-cat_2_13	T28_S__k141_622951__full-cat_2							3	MKF
T28_S__k141_622951__full-cat_2_14	T28_S__k141_622951__full-cat_2							3	MK
T28_S__k141_627158__full-cat_2_4	T28_S__k141_627158__full-cat_2	K01601	ribulose-bisphosphate carboxylase [EC:4.1.1.39] [RN:R00024]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	3	MKF
T28_S__k141_627158__full-cat_2_4	T28_S__k141_627158__full-cat_2	K01601	ribulose-bisphosphate carboxylase [EC:4.1.1.39] [RN:R00024]	Energy	C1		Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	3	MKF
T28_S__k141_627158__full-cat_2_18	T28_S__k141_627158__full-cat_2							3	MKF
T28_S__k141_627158__full-cat_2_20	T28_S__k141_627158__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T28_S__k141_627158__full-cat_2_20	T28_S__k141_627158__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T28_S__k141_627158__full-cat_2_20	T28_S__k141_627158__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T28_S__k141_665499__full-cat_2_10	T28_S__k141_665499__full-cat_2							3	MKF
T28_S__k141_665527__full-cat_2_3	T28_S__k141_665527__full-cat_2							3	MKF
T28_S__k141_665527__full-cat_2_11	T28_S__k141_665527__full-cat_2							3	MK
T28_S__k141_672107__full-cat_1_7	T28_S__k141_672107__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKEF
T28_S__k141_672107__full-cat_1_8	T28_S__k141_672107__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	MKEF
T28_S__k141_672107__full-cat_1_16	T28_S__k141_672107__full-cat_1							1	MK
T28_S__k141_672107__full-cat_1_19	T28_S__k141_672107__full-cat_1							1	MK
T28_S__k141_672107__full-cat_1_50	T28_S__k141_672107__full-cat_1							2	MKF
T28_S__k141_683607__full-cat_1_9	T28_S__k141_683607__full-cat_1							2	MKF
T28_S__k141_683607__full-cat_1_10	T28_S__k141_683607__full-cat_1							2	MKF
T28_S__k141_702982__full-cat_1_15	T28_S__k141_702982__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKE
T28_S__k141_702982__full-cat_1_21	T28_S__k141_702982__full-cat_1							2	MK
T28_S__k141_727029__full-cat_1_3	T28_S__k141_727029__full-cat_1							2	MKF
T28_S__k141_727029__full-cat_1_22	T28_S__k141_727029__full-cat_1							2	MKF
T28_S__k141_737498__full-cat_2_8	T28_S__k141_737498__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_7	T28_S__k141_750221__full-cat_2							3	MKF
T28_S__k141_750221__full-cat_2_15	T28_S__k141_750221__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_23	T28_S__k141_750221__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_33	T28_S__k141_750221__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_34	T28_S__k141_750221__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_47	T28_S__k141_750221__full-cat_2							3	MK
T28_S__k141_750221__full-cat_2_52	T28_S__k141_750221__full-cat_2	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6] [RN:R00177]	Organic Nitrogen	Amino Acid		Cysteine biosynthesis, methionine => cysteine	3	MF
T28_S__k141_750221__full-cat_2_52	T28_S__k141_750221__full-cat_2	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6] [RN:R00177]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
T28_S__k141_750221__full-cat_2_54	T28_S__k141_750221__full-cat_2							3	MKF
T28_S__k141_755342__full-cat_1_18	T28_S__k141_755342__full-cat_1							2	MKEF
T28_S__k141_755342__full-cat_1_21	T28_S__k141_755342__full-cat_1	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T28_S__k141_757097__full-cat_1_15	T28_S__k141_757097__full-cat_1							2	MK
T28_S__k141_757097__full-cat_1_23	T28_S__k141_757097__full-cat_1							2	MKF
T28_S__k141_777826__full-cat_2_3	T28_S__k141_777826__full-cat_2							3	MKF
T28_S__k141_777826__full-cat_2_13	T28_S__k141_777826__full-cat_2							3	MK
T28_S__k141_777826__full-cat_2_20	T28_S__k141_777826__full-cat_2	K00860	adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]	Energy	Sulfur		Assimilatory sulfate reduction, sulfate => H2S	3	M
T28_S__k141_777826__full-cat_2_34	T28_S__k141_777826__full-cat_2	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Energy	Oxygen		Cytochrome bc1 complex respiratory unit	3	MKF
T28_S__k141_777826__full-cat_2_34	T28_S__k141_777826__full-cat_2	K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Energy	Oxygen		Cytochrome bc1 complex	3	MKF
T28_S__k141_784221__full-cat_1_26	T28_S__k141_784221__full-cat_1	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	2	M
T28_S__k141_784863__full-cat_2_3	T28_S__k141_784863__full-cat_2							3	MKF
T28_S__k141_784863__full-cat_2_5	T28_S__k141_784863__full-cat_2							3	MKF
T28_S__k141_784863__full-cat_2_20	T28_S__k141_784863__full-cat_2							3	MKF
T28_S__k141_784863__full-cat_2_21	T28_S__k141_784863__full-cat_2							3	MKF
T28_S__k141_785470__full-cat_1_26	T28_S__k141_785470__full-cat_1							2	MK
T28_S__k141_785470__full-cat_1_33	T28_S__k141_785470__full-cat_1							2	MKF
T28_S__k141_789894__full-cat_1_13	T28_S__k141_789894__full-cat_1							2	MKE
T28_S__k141_789894__full-cat_1_41	T28_S__k141_789894__full-cat_1							2	MK
T28_S__k141_801120__full-cat_1_5	T28_S__k141_801120__full-cat_1	K02913	large subunit ribosomal protein L33	MISC	Information systems		Ribosome, bacteria	2	MF
T28_S__k141_83604__full-cat_2_9	T28_S__k141_83604__full-cat_2							3	MK
T28_S__k141_83604__full-cat_2_10	T28_S__k141_83604__full-cat_2							3	MKF
T28_S__k141_837597__full-cat_2_9	T28_S__k141_837597__full-cat_2							3	MKF
T28_S__k141_837597__full-cat_2_14	T28_S__k141_837597__full-cat_2							3	MKF
T28_S__k141_839072__full-cat_1_46	T28_S__k141_839072__full-cat_1							2	MK
T28_S__k141_839072__full-cat_1_48	T28_S__k141_839072__full-cat_1							2	MK
T28_S__k141_839072__full-cat_1_50	T28_S__k141_839072__full-cat_1							2	MK
T28_S__k141_839072__full-cat_1_53	T28_S__k141_839072__full-cat_1	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	2	MK
T28_S__k141_839072__full-cat_1_53	T28_S__k141_839072__full-cat_1	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	2	MK
T28_S__k141_839072__full-cat_1_53	T28_S__k141_839072__full-cat_1	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	2	MK
